stop_id,last_end_id,charger,num_blocks,routes,# needed
4405,22827,[0. 0. 0. ... 0. 0. 0.],27,"['28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X']",4.0
8308,16029,[0. 0. 0. ... 0. 0. 0.],0,"['28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X', '28X']",3.0
16063,16063,[0. 0. 0. ... 0. 0. 0.],18,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P3', 'P3', 'P1', 'P3', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P3', 'P3', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P3', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P3', 'P1', 'P1', 'P1', 'P3', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P3', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1']",6.0
22873,22873,[0. 0. 0. ... 0. 0. 0.],14,"['P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68', 'P68']",4.0
16111,21046,[0. 0. 0. ... 0. 0. 0.],0,['P68'],1.0
8812,8812,[0. 0. 0. ... 0. 0. 0.],0,['82'],1.0
19687,19687,[0. 0. 0. ... 0. 0. 0.],1,"['36', '36', '36']",1.0
15276,15275,[0. 0. 0. ... 0. 0. 0.],4,"['G2', 'G2', 'G2', 'G2', 'G2', 'G2', 'G2', 'G2', 'G2', 'G2', 'G2', 'G2', 'G2', 'G2', 'G2', 'G2']",1.0
22326,12620,[0. 0. 0. ... 0. 0. 0.],3,"['P78', 'P78', 'P78', 'P78', 'P78', 'P78', 'P16', 'P78']",1.0
3302,12620,[0. 0. 0. ... 0. 0. 0.],0,"['P78', 'P78']",1.0
21624,21623,[0. 0. 0. ... 0. 0. 0.],0,"['75', '75']",1.0
1407,16063,[0. 0. 0. ... 0. 0. 0.],1,"['P71', 'P68']",2.0
