,0,1
0,183316207.0,12.213390905588628
1,183316807.0,143.0518645655983
2,183316907.0,12.213390905588628
3,183317007.0,128.54815995376984
4,183317207.0,114.04445534194139
5,183317307.0,215.57038762474056
6,183317507.0,12.213390905588628
7,183317907.0,12.213390905588628
8,183318807.0,138.01172174307482
9,183319907.0,106.59178922291127
10,183320807.0,76.23175250226802
11,183321307.0,12.213390905588628
12,183321507.0,12.213390905588628
13,183321707.0,12.213390905588628
14,183322607.0,12.213390905588628
15,183324507.0,12.213390905588628
16,183340301.0,106.59178922291127
17,183341001.0,93.66882176047325
18,183341701.0,76.23175250226802
19,183342301.0,12.213390905588628
20,183343201.0,201.0666830129121
21,183343801.0,114.04445534194139
22,183344301.0,157.55556917742675
23,183345101.0,12.213390905588628
24,183345801.0,12.213390905588628
25,183346001.0,12.213390905588628
26,183346401.0,12.213390905588628
27,183346601.0,12.213390905588628
28,183360508.0,12.213390905588628
29,183361208.0,12.213390905588628
30,183361408.0,12.213390905588628
31,183361808.0,12.213390905588628
32,183362008.0,12.213390905588628
33,183375908.0,106.59178922291127
34,183376608.0,93.66882176047325
35,183377308.0,76.23175250226802
36,183377908.0,12.213390905588628
37,183378808.0,201.0666830129121
38,183379408.0,114.04445534194139
39,183379908.0,157.55556917742675
40,183404001.0,40.25760239974149
41,183427508.0,40.25760239974149
42,183453007.0,40.25760239974149
43,183568207.0,1.5358333975418361
44,183569407.0,3.562140691215042
45,183653007.0,3.562140691215042
46,183654107.0,3.562140691215042
47,183654607.0,3.562140691215042
48,183863902.0,91.42850997054691
49,183935202.0,29.411306451091747
50,183936502.0,77.728620316403
51,183936702.0,56.60969284054333
52,183937002.0,30.512136134067386
53,183938002.0,15.511679060981528
54,183941402.0,93.66882176047325
55,183941502.0,5.307341481601156
56,183945102.0,70.88696476195211
57,183947402.0,11.213112402599823
58,183949102.0,8.289212365317454
59,183950002.0,83.62727588700956
60,183950202.0,108.40537441684167
61,183950902.0,138.8225538717735
62,183952302.0,98.130980498838
63,183952502.0,27.022227670970693
64,183953102.0,70.53334150645604
65,183953502.0,56.02963689462759
66,183954602.0,12.213390905588628
67,183955102.0,12.213390905588628
68,183955402.0,12.213390905588628
69,183955702.0,12.213390905588628
70,183956102.0,12.213390905588628
71,183977702.0,15.511679060981528
